contact_id,customer_id,contact_type,contact_date,contact_outcome
CONT0001,CUST0759,Email,2025-06-07 10:37:23.085886,Sucesso
CONT0002,CUST0802,Telefone,2025-06-14 10:37:23.085916,Sucesso
CONT0003,CUST0776,Telefone,2025-02-20 10:37:23.085924,Falha
CONT0004,CUST0955,Email,2025-07-12 10:37:23.085930,Não Atendido
CONT0005,CUST0726,Telefone,2024-09-05 10:37:23.085935,Sucesso
CONT0006,CUST0200,Reunião,2025-06-03 10:37:23.085941,Sucesso
CONT0007,CUST0945,Telefone,2025-04-29 10:37:23.085946,Falha
CONT0008,CUST0079,Email,2025-05-25 10:37:23.085953,Sucesso
CONT0009,CUST0913,Email,2025-01-27 10:37:23.085961,Falha
CONT0010,CUST0956,Email,2025-02-17 10:37:23.085966,Sucesso
CONT0011,CUST0855,Chat,2024-11-07 10:37:23.085972,Sucesso
CONT0012,CUST0856,Email,2025-02-01 10:37:23.085978,Não Atendido
CONT0013,CUST0173,Telefone,2025-07-15 10:37:23.085983,Sucesso
CONT0014,CUST0467,Email,2025-02-07 10:37:23.085988,Sucesso
CONT0015,CUST0581,Email,2024-09-14 10:37:23.085994,Sucesso
CONT0016,CUST0416,Reunião,2025-04-21 10:37:23.085999,Sucesso
CONT0017,CUST0940,Reunião,2024-09-06 10:37:23.086004,Sucesso
CONT0018,CUST0449,Email,2025-02-26 10:37:23.086009,Falha
CONT0019,CUST0087,Telefone,2024-10-09 10:37:23.086014,Sucesso
CONT0020,CUST0101,Email,2025-01-13 10:37:23.086020,Sucesso
CONT0021,CUST0008,Telefone,2025-05-21 10:37:23.086025,Falha
CONT0022,CUST0845,Telefone,2025-07-22 10:37:23.086030,Sucesso
CONT0023,CUST0200,Email,2024-09-14 10:37:23.086035,Sucesso
CONT0024,CUST0505,Email,2025-05-03 10:37:23.086041,Sucesso
CONT0025,CUST0087,Email,2025-03-13 10:37:23.086046,Não Atendido
CONT0026,CUST0043,Chat,2025-08-05 10:37:23.086051,Sucesso
CONT0027,CUST0385,Chat,2025-07-28 10:37:23.086056,Sucesso
CONT0028,CUST0621,Email,2025-04-04 10:37:23.086061,Sucesso
CONT0029,CUST0435,Reunião,2025-05-18 10:37:23.086067,Sucesso
CONT0030,CUST0408,Email,2025-03-20 10:37:23.086072,Sucesso
CONT0031,CUST0483,Email,2024-09-15 10:37:23.086077,Sucesso
CONT0032,CUST0664,Reunião,2025-03-10 10:37:23.086082,Sucesso
CONT0033,CUST0017,Chat,2024-10-23 10:37:23.086087,Não Atendido
CONT0034,CUST0645,Chat,2024-08-11 10:37:23.086092,Sucesso
CONT0035,CUST0148,Telefone,2024-09-01 10:37:23.086098,Sucesso
CONT0036,CUST0277,Email,2025-03-31 10:37:23.086103,Sucesso
CONT0037,CUST0232,Reunião,2024-12-11 10:37:23.086108,Sucesso
CONT0038,CUST0826,Email,2025-06-10 10:37:23.086114,Sucesso
CONT0039,CUST0927,Telefone,2025-01-21 10:37:23.086119,Sucesso
CONT0040,CUST0366,Email,2025-01-08 10:37:23.086124,Sucesso
CONT0041,CUST0228,Telefone,2025-06-23 10:37:23.086129,Falha
CONT0042,CUST0651,Email,2025-05-02 10:37:23.086134,Sucesso
CONT0043,CUST0436,Email,2024-11-01 10:37:23.086139,Sucesso
CONT0044,CUST0399,Chat,2025-07-15 10:37:23.086144,Sucesso
CONT0045,CUST0211,Email,2024-09-06 10:37:23.086150,Sucesso
