contact_id,customer_id,contact_type,contact_date,contact_outcome,contact_month
CONT0001,CUST0759,Email,2025-06-07 10:37:23.085886,Sucesso,2025-06
CONT0002,CUST0802,Telefone,2025-06-14 10:37:23.085916,Sucesso,2025-06
CONT0003,CUST0776,Telefone,2025-02-20 10:37:23.085924,Falha,2025-02
CONT0004,CUST0955,Email,2025-07-12 10:37:23.085930,Não Atendido,2025-07
CONT0005,CUST0726,Telefone,2024-09-05 10:37:23.085935,Sucesso,2024-09
CONT0006,CUST0200,Reunião,2025-06-03 10:37:23.085941,Sucesso,2025-06
CONT0007,CUST0945,Telefone,2025-04-29 10:37:23.085946,Falha,2025-04
CONT0008,CUST0079,Email,2025-05-25 10:37:23.085953,Sucesso,2025-05
CONT0009,CUST0913,Email,2025-01-27 10:37:23.085961,Falha,2025-01
CONT0010,CUST0956,Email,2025-02-17 10:37:23.085966,Sucesso,2025-02
CONT0011,CUST0855,Chat,2024-11-07 10:37:23.085972,Sucesso,2024-11
CONT0012,CUST0856,Email,2025-02-01 10:37:23.085978,Não Atendido,2025-02
CONT0013,CUST0173,Telefone,2025-07-15 10:37:23.085983,Sucesso,2025-07
CONT0014,CUST0467,Email,2025-02-07 10:37:23.085988,Sucesso,2025-02
CONT0015,CUST0581,Email,2024-09-14 10:37:23.085994,Sucesso,2024-09
CONT0016,CUST0416,Reunião,2025-04-21 10:37:23.085999,Sucesso,2025-04
CONT0017,CUST0940,Reunião,2024-09-06 10:37:23.086004,Sucesso,2024-09
CONT0018,CUST0449,Email,2025-02-26 10:37:23.086009,Falha,2025-02
CONT0019,CUST0087,Telefone,2024-10-09 10:37:23.086014,Sucesso,2024-10
CONT0020,CUST0101,Email,2025-01-13 10:37:23.086020,Sucesso,2025-01
CONT0021,CUST0008,Telefone,2025-05-21 10:37:23.086025,Falha,2025-05
CONT0022,CUST0845,Telefone,2025-07-22 10:37:23.086030,Sucesso,2025-07
CONT0023,CUST0200,Email,2024-09-14 10:37:23.086035,Sucesso,2024-09
CONT0024,CUST0505,Email,2025-05-03 10:37:23.086041,Sucesso,2025-05
CONT0025,CUST0087,Email,2025-03-13 10:37:23.086046,Não Atendido,2025-03
CONT0026,CUST0043,Chat,2025-08-05 10:37:23.086051,Sucesso,2025-08
CONT0027,CUST0385,Chat,2025-07-28 10:37:23.086056,Sucesso,2025-07
CONT0028,CUST0621,Email,2025-04-04 10:37:23.086061,Sucesso,2025-04
CONT0029,CUST0435,Reunião,2025-05-18 10:37:23.086067,Sucesso,2025-05
CONT0030,CUST0408,Email,2025-03-20 10:37:23.086072,Sucesso,2025-03
CONT0031,CUST0483,Email,2024-09-15 10:37:23.086077,Sucesso,2024-09
CONT0032,CUST0664,Reunião,2025-03-10 10:37:23.086082,Sucesso,2025-03
CONT0033,CUST0017,Chat,2024-10-23 10:37:23.086087,Não Atendido,2024-10
CONT0034,CUST0645,Chat,2024-08-11 10:37:23.086092,Sucesso,2024-08
CONT0035,CUST0148,Telefone,2024-09-01 10:37:23.086098,Sucesso,2024-09
CONT0036,CUST0277,Email,2025-03-31 10:37:23.086103,Sucesso,2025-03
CONT0037,CUST0232,Reunião,2024-12-11 10:37:23.086108,Sucesso,2024-12
CONT0038,CUST0826,Email,2025-06-10 10:37:23.086114,Sucesso,2025-06
CONT0039,CUST0927,Telefone,2025-01-21 10:37:23.086119,Sucesso,2025-01
CONT0040,CUST0366,Email,2025-01-08 10:37:23.086124,Sucesso,2025-01
CONT0041,CUST0228,Telefone,2025-06-23 10:37:23.086129,Falha,2025-06
CONT0042,CUST0651,Email,2025-05-02 10:37:23.086134,Sucesso,2025-05
CONT0043,CUST0436,Email,2024-11-01 10:37:23.086139,Sucesso,2024-11
CONT0044,CUST0399,Chat,2025-07-15 10:37:23.086144,Sucesso,2025-07
CONT0045,CUST0211,Email,2024-09-06 10:37:23.086150,Sucesso,2024-09
CONT0046,CUST0391,Telefone,2025-06-24 10:37:23.086155,Sucesso,2025-06
CONT0047,CUST0499,Email,2025-07-11 10:37:23.086160,Sucesso,2025-07
CONT0048,CUST0540,Email,2024-10-29 10:37:23.086165,Sucesso,2024-10
CONT0049,CUST0563,Email,2025-05-02 10:37:23.086170,Falha,2025-05
CONT0050,CUST0491,Email,2025-07-02 10:37:23.086175,Sucesso,2025-07
CONT0051,CUST0442,Reunião,2025-04-20 10:37:23.086180,Sucesso,2025-04
CONT0052,CUST0261,Email,2025-06-13 10:37:23.086185,Sucesso,2025-06
CONT0053,CUST0773,Chat,2025-01-27 10:37:23.086190,Sucesso,2025-01
CONT0054,CUST0350,Telefone,2024-12-31 10:37:23.086196,Sucesso,2024-12
CONT0055,CUST0352,Telefone,2025-02-03 10:37:23.086201,Não Atendido,2025-02
CONT0056,CUST0520,Telefone,2025-05-30 10:37:23.086206,Sucesso,2025-05
CONT0057,CUST0320,Telefone,2024-09-24 10:37:23.086211,Não Atendido,2024-09
CONT0058,CUST0138,Reunião,2025-03-30 10:37:23.086216,Falha,2025-03
CONT0059,CUST0550,Email,2025-06-13 10:37:23.086221,Sucesso,2025-06
CONT0060,CUST0623,Email,2025-05-02 10:37:23.086227,Sucesso,2025-05
CONT0061,CUST0992,Reunião,2024-09-05 10:37:23.086232,Sucesso,2024-09
CONT0062,CUST0368,Chat,2025-05-12 10:37:23.086237,Sucesso,2025-05
CONT0063,CUST0220,Reunião,2024-10-17 10:37:23.086242,Não Atendido,2024-10
CONT0064,CUST0337,Telefone,2025-04-10 10:37:23.086247,Sucesso,2025-04
CONT0065,CUST0223,Reunião,2025-01-11 10:37:23.086252,Falha,2025-01
CONT0066,CUST0648,Telefone,2024-09-07 10:37:23.086258,Sucesso,2024-09
CONT0067,CUST0768,Telefone,2025-03-06 10:37:23.086263,Falha,2025-03
CONT0068,CUST0360,Email,2025-07-03 10:37:23.086268,Não Atendido,2025-07
CONT0069,CUST0921,Telefone,2025-05-20 10:37:23.086273,Sucesso,2025-05
CONT0070,CUST0329,Email,2025-06-01 10:37:23.086278,Sucesso,2025-06
CONT0071,CUST0962,Email,2024-08-29 10:37:23.086283,Sucesso,2024-08
CONT0072,CUST0463,Reunião,2025-07-04 10:37:23.086288,Falha,2025-07
CONT0073,CUST0946,Email,2025-05-02 10:37:23.086293,Não Atendido,2025-05
CONT0074,CUST0963,Email,2025-02-19 10:37:23.086298,Falha,2025-02
CONT0075,CUST0561,Email,2025-02-19 10:37:23.086303,Sucesso,2025-02
CONT0076,CUST0804,Chat,2025-03-09 10:37:23.086309,Sucesso,2025-03
CONT0077,CUST0382,Telefone,2025-05-28 10:37:23.086314,Falha,2025-05
CONT0078,CUST0836,Telefone,2025-08-04 10:37:23.086320,Sucesso,2025-08
CONT0079,CUST0590,Reunião,2024-09-27 10:37:23.086325,Falha,2024-09
CONT0080,CUST0617,Reunião,2025-07-06 10:37:23.086330,Sucesso,2025-07
CONT0081,CUST0169,Email,2024-10-24 10:37:23.086335,Sucesso,2024-10
CONT0082,CUST0217,Telefone,2025-05-17 10:37:23.086340,Sucesso,2025-05
CONT0083,CUST0378,Reunião,2025-06-25 10:37:23.086345,Sucesso,2025-06
CONT0084,CUST0119,Telefone,2025-04-24 10:37:23.086350,Sucesso,2025-04
CONT0085,CUST0190,Email,2025-08-06 10:37:23.086355,Sucesso,2025-08
CONT0086,CUST0767,Reunião,2025-06-07 10:37:23.086360,Sucesso,2025-06
CONT0087,CUST0370,Telefone,2024-11-10 10:37:23.086366,Sucesso,2024-11
CONT0088,CUST0778,Email,2025-02-08 10:37:23.086380,Sucesso,2025-02
CONT0089,CUST0149,Telefone,2024-12-26 10:37:23.086385,Falha,2024-12
CONT0090,CUST0676,Email,2025-08-01 10:37:23.086390,Não Atendido,2025-08
CONT0091,CUST0652,Email,2025-04-26 10:37:23.086394,Falha,2025-04
CONT0092,CUST0859,Reunião,2025-07-28 10:37:23.086399,Não Atendido,2025-07
CONT0093,CUST0488,Email,2025-05-28 10:37:23.086408,Sucesso,2025-05
CONT0094,CUST0770,Telefone,2025-05-09 10:37:23.086413,Sucesso,2025-05
CONT0095,CUST0374,Telefone,2024-12-24 10:37:23.086418,Sucesso,2024-12
CONT0096,CUST0781,Email,2025-03-02 10:37:23.086422,Falha,2025-03
CONT0097,CUST0693,Chat,2024-12-22 10:37:23.086426,Sucesso,2024-12
CONT0098,CUST0160,Email,2025-04-03 10:37:23.086431,Sucesso,2025-04
CONT0099,CUST0351,Email,2025-01-10 10:37:23.086436,Falha,2025-01
CONT0100,CUST0912,Email,2025-05-02 10:37:23.086440,Sucesso,2025-05
CONT0101,CUST0288,Email,2025-05-25 10:37:23.086444,Sucesso,2025-05
CONT0102,CUST0288,Email,2025-04-14 10:37:23.086449,Sucesso,2025-04
CONT0103,CUST0892,Reunião,2025-01-28 10:37:23.086453,Sucesso,2025-01
