customer_id,customer_name,segment,region,contact_id,contact_type,contact_date,contact_outcome,contact_month
CUST0001,Cliente 1,Pequena Empresa,Centro-Oeste,CONT0760,Reunião,2024-12-13 10:37:23.089523,Não Atendido,2024-12
CUST0001,Cliente 1,Pequena Empresa,Centro-Oeste,CONT1037,Chat,2025-06-16 10:37:23.090815,Falha,2025-06
CUST0001,Cliente 1,Pequena Empresa,Centro-Oeste,CONT1460,Chat,2024-12-04 10:37:23.093113,Falha,2024-12
CUST0002,Cliente 2,Autônomo,Nordeste,,,,,
CUST0003,Cliente 3,Grande Empresa,Norte,CONT1721,Email,2024-11-25 10:37:23.094036,Sucesso,2024-11
CUST0003,Cliente 3,Grande Empresa,Norte,CONT1935,Email,2025-07-17 10:37:23.094839,Sucesso,2025-07
CUST0004,Cliente 4,Média Empresa,Sudeste,,,,,
CUST0005,Cliente 5,Pequena Empresa,Norte,CONT1904,Reunião,2025-04-15 10:37:23.094740,Não Atendido,2025-04
CUST0006,Cliente 6,Pequena Empresa,Sudeste,,,,,
CUST0007,Cliente 7,Pequena Empresa,Sul,CONT1183,Reunião,2024-11-04 10:37:23.091504,Sucesso,2024-11
CUST0008,Cliente 8,Grande Empresa,Sudeste,CONT0021,Telefone,2025-05-21 10:37:23.086025,Falha,2025-05
CUST0008,Cliente 8,Grande Empresa,Sudeste,CONT0603,Email,2025-04-28 10:37:23.088799,Falha,2025-04
CUST0008,Cliente 8,Grande Empresa,Sudeste,CONT0914,Email,2025-02-10 10:37:23.090239,Sucesso,2025-02
CUST0008,Cliente 8,Grande Empresa,Sudeste,CONT1997,Email,2024-08-09 10:37:23.095068,Sucesso,2024-08
CUST0009,Cliente 9,Média Empresa,Centro-Oeste,,,,,
CUST0010,Cliente 10,Grande Empresa,Nordeste,CONT0217,Chat,2025-03-31 10:37:23.087007,Falha,2025-03
CUST0010,Cliente 10,Grande Empresa,Nordeste,CONT1556,Telefone,2024-12-15 10:37:23.093486,Sucesso,2024-12
CUST0011,Cliente 11,Pequena Empresa,Sul,,,,,
CUST0012,Cliente 12,Autônomo,Sudeste,CONT0236,Reunião,2025-01-20 10:37:23.087092,Não Atendido,2025-01
CUST0012,Cliente 12,Autônomo,Sudeste,CONT1580,Email,2025-05-29 10:37:23.093571,Sucesso,2025-05
CUST0012,Cliente 12,Autônomo,Sudeste,CONT1810,Reunião,2025-01-30 10:37:23.094425,Falha,2025-01
CUST0013,Cliente 13,Grande Empresa,Norte,CONT0227,Telefone,2025-03-12 10:37:23.087051,Sucesso,2025-03
CUST0013,Cliente 13,Grande Empresa,Norte,CONT1415,Telefone,2024-09-21 10:37:23.092850,Sucesso,2024-09
CUST0013,Cliente 13,Grande Empresa,Norte,CONT1516,Chat,2024-11-04 10:37:23.093353,Sucesso,2024-11
CUST0013,Cliente 13,Grande Empresa,Norte,CONT1656,Email,2025-02-22 10:37:23.093821,Sucesso,2025-02
CUST0013,Cliente 13,Grande Empresa,Norte,CONT1693,Email,2025-05-14 10:37:23.093942,Sucesso,2025-05
CUST0014,Cliente 14,Pequena Empresa,Sul,CONT0239,Email,2025-04-08 10:37:23.087106,Falha,2025-04
CUST0014,Cliente 14,Pequena Empresa,Sul,CONT1564,Email,2025-06-29 10:37:23.093512,Sucesso,2025-06
CUST0015,Cliente 15,Pequena Empresa,Sul,CONT1916,Email,2025-05-09 10:37:23.094779,Falha,2025-05
CUST0016,Cliente 16,Pequena Empresa,Sudeste,CONT0658,Telefone,2025-01-24 10:37:23.089054,Sucesso,2025-01
CUST0016,Cliente 16,Pequena Empresa,Sudeste,CONT0882,Telefone,2025-08-06 10:37:23.090094,Sucesso,2025-08
CUST0017,Cliente 17,Pequena Empresa,Sul,CONT0033,Chat,2024-10-23 10:37:23.086087,Não Atendido,2024-10
CUST0017,Cliente 17,Pequena Empresa,Sul,CONT1763,Email,2025-02-16 10:37:23.094265,Sucesso,2025-02
CUST0018,Cliente 18,Média Empresa,Norte,,,,,
CUST0019,Cliente 19,Média Empresa,Sul,CONT0187,Email,2025-03-06 10:37:23.086843,Falha,2025-03
CUST0019,Cliente 19,Média Empresa,Sul,CONT0318,Email,2025-07-21 10:37:23.087465,Falha,2025-07
CUST0019,Cliente 19,Média Empresa,Sul,CONT1040,Email,2025-04-15 10:37:23.090828,Sucesso,2025-04
CUST0019,Cliente 19,Média Empresa,Sul,CONT1446,Telefone,2025-02-03 10:37:23.093029,Sucesso,2025-02
CUST0019,Cliente 19,Média Empresa,Sul,CONT1971,Email,2025-03-25 10:37:23.094982,Sucesso,2025-03
CUST0020,Cliente 20,Pequena Empresa,Norte,CONT0244,Email,2024-11-27 10:37:23.087128,Não Atendido,2024-11
CUST0020,Cliente 20,Pequena Empresa,Norte,CONT0258,Chat,2025-03-11 10:37:23.087190,Não Atendido,2025-03
CUST0020,Cliente 20,Pequena Empresa,Norte,CONT0277,Telefone,2024-09-19 10:37:23.087280,Falha,2024-09
CUST0020,Cliente 20,Pequena Empresa,Norte,CONT1352,Email,2024-09-05 10:37:23.092472,Sucesso,2024-09
CUST0021,Cliente 21,Média Empresa,Sudeste,CONT0477,Email,2025-03-20 10:37:23.088203,Sucesso,2025-03
CUST0022,Cliente 22,Pequena Empresa,Nordeste,CONT0526,Reunião,2024-11-25 10:37:23.088431,Sucesso,2024-11
CUST0022,Cliente 22,Pequena Empresa,Nordeste,CONT1423,Email,2024-09-28 10:37:23.092896,Sucesso,2024-09
CUST0022,Cliente 22,Pequena Empresa,Nordeste,CONT1571,Email,2025-02-22 10:37:23.093534,Sucesso,2025-02
CUST0023,Cliente 23,Pequena Empresa,Sul,CONT0188,Email,2025-02-14 10:37:23.086847,Sucesso,2025-02
CUST0023,Cliente 23,Pequena Empresa,Sul,CONT1167,Email,2025-02-22 10:37:23.091417,Sucesso,2025-02
CUST0023,Cliente 23,Pequena Empresa,Sul,CONT1552,Telefone,2025-02-27 10:37:23.093473,Sucesso,2025-02
