customer_id,customer_name,segment,region,sale_id,sale_date,sale_value,product,sale_month
CUST0001,Cliente 1,Pequena Empresa,Centro-Oeste,,,,,
CUST0002,Cliente 2,Autônomo,Nordeste,,,,,
CUST0003,Cliente 3,Grande Empresa,Norte,,,,,
CUST0004,Cliente 4,Média Empresa,Sudeste,,,,,
CUST0005,Cliente 5,Pequena Empresa,Norte,SALE0200,2025-05-26 10:37:23.100327,576.52,Serviço Y,2025-05
CUST0005,Cliente 5,Pequena Empresa,Norte,SALE0444,2024-10-22 10:37:23.101131,697.84,Serviço Y,2024-10
CUST0006,Cliente 6,Pequena Empresa,Sudeste,,,,,
CUST0007,Cliente 7,Pequena Empresa,Sul,SALE0670,2024-11-07 10:37:23.101958,2242.11,Serviço X,2024-11
CUST0008,Cliente 8,Grande Empresa,Sudeste,SALE0423,2025-02-18 10:37:23.101065,4332.06,Produto A,2025-02
CUST0008,Cliente 8,Grande Empresa,Sudeste,SALE0454,2025-07-27 10:37:23.101163,2007.01,Produto A,2025-07
CUST0008,Cliente 8,Grande Empresa,Sudeste,SALE0506,2025-04-17 10:37:23.101330,3826.84,Serviço Y,2025-04
CUST0008,Cliente 8,Grande Empresa,Sudeste,SALE0633,2024-11-30 10:37:23.101837,1867.31,Produto A,2024-11
CUST0009,Cliente 9,Média Empresa,Centro-Oeste,,,,,
CUST0010,Cliente 10,Grande Empresa,Nordeste,,,,,
CUST0011,Cliente 11,Pequena Empresa,Sul,SALE0452,2025-01-11 10:37:23.101157,2574.8,Produto A,2025-01
CUST0012,Cliente 12,Autônomo,Sudeste,SALE0023,2024-12-04 10:37:23.099690,4409.31,Serviço X,2024-12
CUST0012,Cliente 12,Autônomo,Sudeste,SALE0532,2024-11-16 10:37:23.101413,159.68,Serviço X,2024-11
CUST0013,Cliente 13,Grande Empresa,Norte,,,,,
CUST0014,Cliente 14,Pequena Empresa,Sul,SALE0398,2025-06-28 10:37:23.100984,4576.48,Produto A,2025-06
CUST0014,Cliente 14,Pequena Empresa,Sul,SALE0689,2025-05-10 10:37:23.102019,3762.96,Serviço Y,2025-05
CUST0015,Cliente 15,Pequena Empresa,Sul,SALE0551,2025-01-25 10:37:23.101473,818.62,Produto B,2025-01
CUST0015,Cliente 15,Pequena Empresa,Sul,SALE0755,2025-07-01 10:37:23.102229,2620.17,Serviço Y,2025-07
CUST0016,Cliente 16,Pequena Empresa,Sudeste,,,,,
CUST0017,Cliente 17,Pequena Empresa,Sul,,,,,
CUST0018,Cliente 18,Média Empresa,Norte,SALE0530,2025-07-12 10:37:23.101406,4395.13,Serviço Y,2025-07
CUST0019,Cliente 19,Média Empresa,Sul,SALE0159,2025-01-06 10:37:23.100198,4862.22,Serviço Y,2025-01
CUST0019,Cliente 19,Média Empresa,Sul,SALE0376,2025-07-25 10:37:23.100910,2031.76,Produto A,2025-07
CUST0020,Cliente 20,Pequena Empresa,Norte,,,,,
CUST0021,Cliente 21,Média Empresa,Sudeste,,,,,
CUST0022,Cliente 22,Pequena Empresa,Nordeste,SALE0363,2025-06-18 10:37:23.100869,4936.48,Produto A,2025-06
CUST0023,Cliente 23,Pequena Empresa,Sul,,,,,
CUST0024,Cliente 24,Pequena Empresa,Nordeste,SALE0313,2025-06-22 10:37:23.100710,322.44,Serviço X,2025-06
CUST0024,Cliente 24,Pequena Empresa,Nordeste,SALE0550,2025-07-22 10:37:23.101470,297.61,Produto B,2025-07
CUST0025,Cliente 25,Média Empresa,Norte,SALE0641,2024-11-22 10:37:23.101867,2915.74,Produto B,2024-11
CUST0026,Cliente 26,Grande Empresa,Sul,SALE0435,2025-04-16 10:37:23.101103,3975.4,Produto B,2025-04
CUST0026,Cliente 26,Grande Empresa,Sul,SALE0631,2025-06-08 10:37:23.101828,1356.61,Produto B,2025-06
CUST0027,Cliente 27,Pequena Empresa,Centro-Oeste,SALE0696,2025-04-03 10:37:23.102041,2918.5,Serviço X,2025-04
CUST0028,Cliente 28,Média Empresa,Nordeste,,,,,
CUST0029,Cliente 29,Média Empresa,Sul,SALE0139,2025-02-16 10:37:23.100135,4921.76,Serviço Y,2025-02
CUST0030,Cliente 30,Pequena Empresa,Nordeste,SALE0783,2025-06-18 10:37:23.102317,3727.4,Produto B,2025-06
CUST0031,Cliente 31,Média Empresa,Sul,SALE0282,2025-03-19 10:37:23.100598,2224.09,Produto A,2025-03
CUST0032,Cliente 32,Pequena Empresa,Sudeste,SALE0457,2025-07-26 10:37:23.101173,2314.44,Produto A,2025-07
CUST0033,Cliente 33,Pequena Empresa,Nordeste,,,,,
CUST0034,Cliente 34,Autônomo,Centro-Oeste,SALE0012,2025-04-22 10:37:23.099655,138.28,Serviço Y,2025-04
CUST0035,Cliente 35,Autônomo,Centro-Oeste,,,,,
CUST0036,Cliente 36,Grande Empresa,Norte,,,,,
CUST0037,Cliente 37,Pequena Empresa,Sul,SALE0181,2025-07-17 10:37:23.100268,3592.04,Serviço X,2025-07
CUST0038,Cliente 38,Pequena Empresa,Nordeste,,,,,
CUST0039,Cliente 39,Média Empresa,Norte,SALE0610,2025-02-28 10:37:23.101721,3980.6,Produto A,2025-02
CUST0040,Cliente 40,Média Empresa,Nordeste,SALE0250,2025-03-05 10:37:23.100485,153.61,Serviço X,2025-03
CUST0041,Cliente 41,Pequena Empresa,Sul,,,,,
CUST0042,Cliente 42,Média Empresa,Centro-Oeste,,,,,
